staker,lp,stt,ste,faction
terra1marp8...vkhu,13.501979,0,16.87747375,degens
terra1mazfr...ug0m,202.166396,0,252.70799499999998,degens
terra1map6d...2ujp,0.387694,0,0.4846175,degens
terra1mu79h...cu2q,2.219665,0,2.7745812499999998,degens
terra1musph...dpkh,23.012853,0,28.76606625,degens
terra1muwwm...8c3p,0.404948,0,0.506185,degens
terra1murhv...r7zg,51.729901,0,64.66237625,degens
terra1mmh9p...sht5,40.926514,0,51.1581425,degens
terra1mmv20...lans,36.09914,0,45.123925,degens
terra1m6h9q...f7zz,0.207855,0,0.25981875,degens
terra1m6ytm...kgy5,11.403677,0,14.25459625,degens
terra1mehrp...3dj0,220.528712,0,275.66089,degens
terra1menzg...ankc,8.390374,0,10.4879675,degens
terra1mew8a...uufa,97.804512,0,122.25564,degens
terra1mezht...zsrr,1.047685,0,1.3096062499999999,degens
terra1mcnw0...v73l,190.03,0,237.5375,degens
terra1mhgmv...vc7r,17.387512,0,21.73439,degens
terra1mhq87...66j4,40.17946,0,50.224325,degens
terra1mkkfc...js8l,0.00019,0,0.00023750000000000003,degens
terra1mk2lw...y0a7,0.340993,0,0.42624125,degens
terra1mkpzd...360y,4299.62898,0,5374.536225000001,degens
terra1m4spq...addp,11.106867,0,13.88358375,degens
terra1m40jw...g5ax,2462.094907,0,3077.6186337500003,degens
terra1m48n2...9xxj,218.721882,0,273.4023525,degens
terra1m4y7g...27dp,1.105936,0,1.38242,degens
terra1m5uwg...d0fd,9.628402,0,12.0355025,degens
terra1m5kdx...27w5,43.38,0,54.225,degens
terra1mnas7...m33d,0.214832,0,0.26854,degens
terra1mnaw5...anhy,2.859276,0,3.574095,degens
terra1mnslw...f4fm,550.623225,0,688.2790312500001,degens
terra1mnxs6...u8xq,644.073469,0,805.09183625,degens
terra1mjarz...y4s8,5.687799,0,7.10974875,degens
terra1mj5cj...kfgj,11.303562,0,14.1294525,degens
terra1mjtfs...9u7z,0.041693,0,0.05211625,degens
terra1mj2kw...06s6,23.999969,0,29.99996125,degens
terra1mjx6n...9758,188.689129,0,235.86141125,degens
terra1m3tnq...7sr2,97.926933,0,122.40866625000001,degens
terra1m39mf...hc2u,0.194701,0,0.24337625000000002,degens
terra1m3ydh...qqpf,4456.832371,0,5571.0404637500005,degens
terra1m3p92...x4r2,316.257044,0,395.321305,degens
